X,Y,Radius
-288334.8706,6649962.045,100
-288429.6867,6649880.443,100
-288569.8747,6649782.722,100
-288403.9693,6649632.567,100
-288327.9719,6649634.776,100
-288270.9503,6649706.633,100
-288008.7102,6649807.068,100
-288095.0961,6649687.202,100
-288100.0939,6649530.432,100
-287891.3827,6649460.193,100
-287817.177,6649342.953,100
-287667.4402,6649250.779,100
-287451.2331,6649095.214,100
-287224.4307,6649087.58,100
-287070.6883,6649065.516,100
-286941.6142,6649029.457,100
-286802.6217,6649039.587,100
-287289.6661,6648763.265,100
-287998.5409,6646477.473,100
-288316.0066,6646413.038,100
-288356.1166,6646284.82,100
-288230.3297,6646249.417,100
-288525.2238,6646088.336,100
-288594.3954,6646189.929,100
-288700.3855,6646315.484,100
-288729.363,6646449.206,100
-288279.7905,6646530.757,100
-288072.7283,6647326.149,100
-288097.9143,6647569.574,100
-288273.4425,6647255.867,100
-288222.9258,6647055.451,100
-288291.7774,6647422.617,100
-288677.1725,6647441.825,100
-288641.4711,6647394.016,100
-288627.5533,6647054.408,100
-288997.8414,6647064.3,100
-289142.0717,6647088.42,100
-289529.4118,6647166.249,100
-289364.8204,6647237.166,100
-289551.0299,6647351.337,100
-289599.9033,6647492.038,100
-289482.8605,6647563.878,100
-289394.9065,6647432.994,100
-289302.5122,6647490.848,100
-289239.2898,6647373.105,100
-289072.3458,6647315.869,100
-288894.0444,6647304.549,100
-289127.3577,6647491.667,100
-288926.1846,6647541.531,100
-289217.329,6647639.124,100
-289476.5459,6647725.493,100
-289322.9099,6647708.063,100
-289453.7905,6647949.642,100
-289542.1124,6648217.235,100
-288981.1226,6647762.964,100
-288395.2869,6648517.408,100
-288612.1466,6648404.295,100
-288478.2663,6648272.956,100
-288748.111,6648050.912,100
-288693.9637,6648057.04,100
-288635.6488,6648092.557,100
-288702.79,6647897.601,100
-288563.0846,6648003.584,100
-288665.1957,6647783.597,100
-288546.1488,6647855.074,100
-288443.1658,6647912.33,100
-288304.9605,6647709.199,100
-288124.1809,6647726.424,100
-289204.5097,6648343.91,100
-289084.1777,6648563.911,100
-289324.2651,6648582.159,100
-289078.4988,6648739.429,100
-289314.7394,6648826.745,100
-289282.037,6649066.4,100
-289131.2728,6649642.757,100
-289250.0927,6649373.406,100
-289048.7302,6649445.377,100
-288993.5229,6649215.005,100
-289084.0297,6649091.252,100
-288800.255,6649395.398,100
-288701.7707,6649209.978,100
-288526.6833,6649340.083,100
-288522.4119,6649392.974,100
-288431.2079,6649326.225,100
-288587.2273,6649204.49,100
-288419.0655,6649148.142,100
-288483.296,6649247.256,100
-288074.1008,6649180.219,100
-287908.5214,6649196.574,100
-287837.9237,6649098.534,100
-287829.0729,6649143.488,100
-287767.247,6649167.322,100
-288905.5716,6649002.556,100
-289001.6193,6648969.857,100
-289061.7663,6648878.482,100
