X,Y,Radius
-291936.5075,6649495.415,200
-291752.3088,6649707.659,200
-291473.195,6649815.382,200
-291528.0531,6649217.365,200
-291843.9913,6648777.657,200
-291041.96,6649328.368,200
-291324.9647,6649500.732,200
-291251.279,6649748.226,200
-290933.9801,6649719.026,200
-290758.4116,6649969.623,200
-290755.4279,6649519.193,200
-290630.5394,6649373.019,200
-290463.5235,6649610.257,200
-290415.7573,6649831.43,200
-290459.7033,6650028.232,200
-290357.6653,6649368.888,200
-290147.8546,6649330.716,200
-290127.2349,6649150.756,200
-290250.4322,6649017.862,200
-290573.2868,6648921.804,200
-290282.2635,6648488.672,200
-290339.3506,6648794.113,200
-289951.5685,6648686.038,200
-289661.2323,6648969.235,200
-289741.0234,6649245.946,200
-289442.3663,6649831.862,200
-289638.9133,6648501.003,200
-289202.2585,6649799.327,200
-288823.7198,6649969.282,200
-287193.1202,6649943.32,200
-286871.6613,6650124.494,200
-285711.6981,6649521.116,200
-285211.9646,6649916.83,200
-285769.9951,6649136.6,200
-285557.5999,6649190.378,200
-285500.6687,6648985.314,200
-285297.0511,6648893.97,200
-284873.9712,6648961.099,200
-285215.5647,6648619.803,200
-285066.1302,6648382.213,200
-284778.5745,6648335.184,200
-284794.2031,6647800.31,200
-285145.6283,6647985.961,200
-285396.924,6647733.427,200
-284918.6892,6646828.113,200
